CÓDIGO DO PRODUTO; NOME DO PRODUTO
9274598; NABOTA 200U 1FR/AMP
9089061; TORNEIRA DESCARTAVEL 3 VIAS SOLIDOR
9192840; RENNOVA DIAMOND INTENSE C/ AGULHA TSK
3029055; TORNEIRA DESCARTAVEL 3VIAS LL
9058322; RENNOVA ELLEVA
9160508; RENNOVA ELLEVA X
9252818; RENNOVA ELLEVA 150
9253592; RENNOVA FILL FINE LINES LIDO
9253626; RENNOVA FILL EYES LINES LIDO 1,1 ML
3076528; RENNOVA CANNULA 22Gx50MM C/ AGULHA 21G
3076536; RENNOVA CANNULA 25GX50MM C/ AGULHA 23G
3077294; RENNOVA CANNULA 18GX70MM
9123886; RENNOVA LIFT PLUS LIDO
9193913; CROQUIS MONO 30GX25X30 6-0 - IMP CX60
9193924; CROQUIS SCREW 27GX50X70 5-0 - IMP CX60
9193948; CROQUIS BARBED CUTTING 18GX100X150 2 L CANNULA-IMP CX30
9253683; RENNOVA LIFT LIPS PLUS LIDO 1,1 ML
9263484; RENNOVA FILL SOFT LIPS LIDO
9980020; RENNOVA LIFT SER 1ML
